V,I (mA),I
-1.4735,-0.01311,-13.11
-1.4935,-0.0133,-13.3
-1.514,-0.01349,-13.49
-1.534,-0.01367,-13.67
-1.554,-0.01384,-13.84
-1.574,-0.01402,-14.02
-1.594,-0.0142,-14.2
-1.614,-0.01438,-14.38
-1.634,-0.01456,-14.56
-1.654,-0.01472,-14.72
-1.674,-0.01489,-14.89
-1.694,-0.01506,-15.06
-1.7145,-0.01522,-15.22
-1.7345,-0.01538,-15.38
-1.7545,-0.01554,-15.54
-1.7745,-0.0157,-15.7
-1.7945,-0.01585,-15.85
-1.8145,-0.016,-16
-1.8345,-0.01616,-16.16
-1.8545,-0.0163,-16.3
-1.8745,-0.01645,-16.45
-1.8945,-0.0166,-16.6
-1.915,-0.01673,-16.73
-1.935,-0.01688,-16.88
-1.955,-0.01702,-17.02
-1.975,-0.01716,-17.16
-1.995,-0.0173,-17.3
-2.015,-0.01744,-17.44
-2.035,-0.01758,-17.58
-2.055,-0.01771,-17.71
-2.075,-0.01784,-17.84
-2.095,-0.01797,-17.97
-2.1155,-0.01812,-18.12
-2.1355,-0.01825,-18.25
-2.1555,-0.01838,-18.38
-2.1755,-0.01851,-18.51
-2.1955,-0.01864,-18.64
-2.2155,-0.01876,-18.76
-2.2355,-0.01889,-18.89
-2.2555,-0.01901,-19.01
-2.2755,-0.01913,-19.13
-2.2955,-0.01925,-19.25
-2.316,-0.01937,-19.37
-2.336,-0.01949,-19.49
-2.356,-0.0196,-19.6
-2.376,-0.01971,-19.71
-2.396,-0.01983,-19.83
-2.416,-0.01994,-19.94
-2.436,-0.02005,-20.05
-2.456,-0.02016,-20.16
-2.476,-0.02026,-20.26
-2.496,-0.02035,-20.35
-2.5165,-0.02045,-20.45
-2.5365,-0.02054,-20.54
-2.5565,-0.02064,-20.64
-2.5765,-0.02073,-20.73
-2.5965,-0.02082,-20.82
-2.6165,-0.0209,-20.9
-2.6365,-0.02098,-20.98
-2.6565,-0.02106,-21.06
-2.6765,-0.02114,-21.14
-2.6965,-0.0212,-21.2
-2.717,-0.02128,-21.28
-2.737,-0.02136,-21.36
-2.757,-0.02143,-21.43
-2.777,-0.02149,-21.49
-2.797,-0.02156,-21.56
-2.817,-0.02162,-21.62
-2.837,-0.02167,-21.67
-2.857,-0.02174,-21.74
-2.877,-0.0218,-21.8
-2.897,-0.02186,-21.86
-2.9175,-0.02192,-21.92
-2.9375,-0.02198,-21.98
-2.9575,-0.02204,-22.04
-2.9775,-0.02208,-22.08
-2.9975,-0.02214,-22.14
-3.0175,-0.0222,-22.2
-3.0375,-0.02225,-22.25
-3.0575,-0.02231,-22.31
-3.0775,-0.02237,-22.37
-3.0975,-0.02244,-22.44
-3.118,-0.02251,-22.51
-3.138,-0.02258,-22.58
-3.158,-0.02266,-22.66
-3.178,-0.02273,-22.73
-3.198,-0.02282,-22.82
-3.218,-0.02292,-22.92
-3.238,-0.02301,-23.01
-3.258,-0.02313,-23.13
-3.278,-0.02325,-23.25
-3.298,-0.02339,-23.39
-3.3185,-0.02353,-23.53
-3.3385,-0.02368,-23.68
-3.3585,-0.02385,-23.85
-3.3785,-0.02402,-24.02
-3.3985,-0.02421,-24.21
-3.4185,-0.02441,-24.41
-3.4385,-0.02463,-24.63
-3.4585,-0.02485,-24.85
-3.4785,-0.02507,-25.07
-3.4985,-0.0253,-25.3
-3.519,-0.02556,-25.56
-3.539,-0.02579,-25.79
-3.559,-0.02604,-26.04
-3.579,-0.0263,-26.3
-3.599,-0.02654,-26.54
-3.619,-0.0268,-26.8
-3.639,-0.02707,-27.07
-3.659,-0.02734,-27.34
-3.679,-0.0276,-27.6
-3.699,-0.02787,-27.87
-3.7195,-0.02815,-28.15
-3.7395,-0.02842,-28.42
-3.7595,-0.02871,-28.71
-3.7795,-0.02898,-28.98
-3.7995,-0.02926,-29.26
-3.8195,-0.02955,-29.55
-3.8395,-0.02984,-29.84
-3.8595,-0.03,-30
-3.8795,-0.03,-30
-3.8995,-0.03,-30
-3.92,-0.03,-30
-3.94,-0.03,-30
-3.96,-0.03,-30
-3.98,-0.03,-30
-4,-0.03,-30
